Calibre:	 0,122
Masa	 2,232
Delta X	 100


	V1	V2	Densidad del aire	presion (atm)	Vsonido
0	1052,011278681984	1014,7086773660626	30,814907223491048	1,0047462462051295	336,09141500011305
1	355,462540967304	342,63623150221144	34,632970635312574	0,9996522484780564	336,4917053277053
2	816,1754902903513	787,7575299004343	32,72427243626589	1,0006885426680094	336,9030850655006
3	653,597648841225	629,2733834787684	31,599693376106472	1,0099185448270542	336,38640230412625
4	569,2684606170958	549,2673158136358	27,782814144965414	0,9955861865222277	336,4493814864023
5	992,3596547831474	956,726812411455	34,11999687422377	0,9988922014754219	336,4780287694726
6	588,1435263973613	567,9548683608023	28,725934980922602	0,9962031359583989	336,3045574048421
7	309,68797601577495	298,771727292168	29,75379654680779	1,0029671856513938	336,8319367208472
8	186,00592165517895	179,42705451017963	31,36787881716583	1,0007967513084837	336,26472341439506
9	640,0617533986591	617,6408582541793	27,902239670280437	0,996454165678041	336,9329391993969
10	902,9902200423655	871,1939632438184	33,45032286336078	1,002611621384944	336,3759113295089
11	418,640538254232	403,89601878050684	36,502224279122856	1,0034150159689315	336,244490432535
12	889,350315205623	857,8623585983523	34,24531690136388	0,9987697077361856	336,7221945361889
13	588,8427908079024	568,4556395661053	32,10818333556222	0,9989558179707253	336,1493413755804
14	287,6620953193353	277,6111338836546	31,923291330397035	1,0026455201006395	336,6520446238566
15	796,4653685164839	767,898373381492	35,126286612789045	1,006014343200106	336,29949641683845
16	992,8815618495422	958,2467870747945	37,03747991450558	1,0030874971036545	336,48344111218375
17	772,9056061741469	744,937467491543	29,79111242489853	0,9997349115074666	336,8176216775076
18	388,82249760132277	375,08102943598294	37,16976095885025	1,004271729563797	336,31274782994944
19	422,7404656224012	407,58823738107765	30,72479937293781	1,000780835623504	336,82174152115704
20	683,7467780971274	660,2180321600558	31,68206119910809	0,9991627267953694	336,8143044383989
21	350,78756766007973	338,37134224040847	33,06203449974777	1,0013114234398135	336,18399454618446
22	1066,5590462670978	1028,2828547536062	29,170527169975514	0,9959967960182656	336,90255983216576
23	542,9564016466402	524,0342809801496	34,685748617067475	1,0014264870520702	336,1093780343576
24	905,7032083576144	873,6116737845803	30,42984271573539	1,004666293848091	336,5298449577301
25	610,4957904352104	589,5410758393177	31,827697518203593	0,9978169426866726	336,7695658001002
